,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD,GOVT_USD_USA_1m,GOVT_USD_USA_3m,GOVT_USD_USA_6m,GOVT_USD_USA_1y,GOVT_USD_USA_2y,GOVT_USD_USA_3y,GOVT_USD_USA_5y,GOVT_USD_USA_7y,GOVT_USD_USA_10y,GOVT_USD_USA_20y,GOVT_USD_USA_30y
2013-05-16,0.9846,1.0162,0.9618,6.1487,1.2898,1.5302,102.22,5.8166,0.819,6.6465,1.2502,0.0,0.0003000337516876339,0.0007998400426538933,0.001199760095961564,0.0023002171119636448,0.0037036428433057447,0.007948173179295973,0.012688062907502157,0.019313822660040142,0.028853818982855814,0.03436659107052581
2013-05-17,0.9737,1.0268,0.9731,6.141,1.2818,1.5173,102.98,5.8626,0.8082,6.7003,1.2568,0.0001000045834613772,0.0004000600039999469,0.0007998400426538933,0.001199760095961564,0.0026004899505059687,0.004004091049040337,0.008453564996022395,0.013407572333697715,0.02015745465933084,0.029731827110167516,0.03529150386345578
2013-05-20,0.9788,1.0272,0.9675,6.1386,1.2865,1.5223,102.54,5.839,0.8153,6.6588,1.256,0.0001000045834613772,0.0005000937578125697,0.0008997975607296802,0.0011997301034574232,0.002600457401634634,0.00400405755976887,0.008555364006453195,0.013510417725890976,0.020373295821305808,0.02995542633568207,0.03535624051898698
2013-05-21,0.98,1.0277,0.968,6.1353,1.291,1.517,102.36,5.7892,0.8161,6.624,1.2602,0.0004000733414819546,0.0004000600039999469,0.0008997975607296802,0.0011997301034574232,0.002600457401634634,0.0039036452518052254,0.008454380860725492,0.013303660991103208,0.020051522115227528,0.029492473205827714,0.0348731896926915
2013-05-22,0.9686,1.0331,0.9814,6.1309,1.2864,1.5038,103.52,5.8128,0.8084,6.6328,1.2663,0.0004000733414819546,0.0004000600039999469,0.0007998400426538933,0.0010997800778875242,0.0026006038793180944,0.004104640428470379,0.009166302406852001,0.014232558907184114,0.020997713980265786,0.030347051919697624,0.035605235831705453
2013-05-23,0.9759,1.0315,0.9668,6.1337,1.2944,1.512,101.66,5.8322,0.8166,6.64,1.263,0.00030004125343707777,0.0005000937578125697,0.0007998400426538933,0.001199760095961564,0.0026004899505059687,0.004204965508076088,0.009165206820416197,0.014231318865683105,0.020885030442073182,0.030231614382259638,0.03548497504821563
2013-05-24,0.9675,1.0322,0.9621,6.1311,1.292,1.5126,100.98,5.8315,0.8098,6.6503,1.2645,0.00030004125343707777,0.0004000600039999469,0.0006998775285760116,0.001199790091464804,0.002600522502633156,0.004104554588015936,0.00906417916864155,0.01412937816490953,0.020781338538212416,0.029994013524582704,0.03523852481038445
2013-05-28,0.9642,1.0371,0.9734,6.1213,1.287,1.5061,102.07,5.8774,0.8094,6.6913,1.2684,0.00020001833435312477,0.0005000937578125697,0.0008997975607296802,0.0012997076245289335,0.0029006559795988047,0.004907361276076385,0.01028025137954312,0.015567628683965709,0.02224445159889738,0.031646883896804964,0.03662839690223148
2013-05-29,0.9632,1.0369,0.9613,6.1264,1.2944,1.5121,100.91,5.8947,0.8131,6.6492,1.2664,0.0004000733414819546,0.0005000937578125697,0.0007998400426538933,0.0013997201446022394,0.0030006788149454385,0.004906929889489844,0.01027970154373859,0.01535592044261552,0.022028959906475833,0.031162856437315242,0.03612983444582744
2013-05-30,0.9662,1.0309,0.9558,6.1307,1.3042,1.5207,101.06,5.8245,0.8076,6.5622,1.2604,0.00020001833435312477,0.0004000600039999469,0.0006998775285760116,0.0012997726147869868,0.003100973442660779,0.004906786127378491,0.010177298457586581,0.01535800857976886,0.022031142524096603,0.03129506347648727,0.03626423259879147
2013-05-31,0.9608,1.0337,0.9583,6.134,1.2988,1.5185,100.83,5.8623,0.7973,6.6221,1.2641,0.00030004125343707777,0.0004000600039999469,0.0006998775285760116,0.0013997551428565757,0.0030007163882736086,0.005208644643552217,0.010583357961167793,0.015767816006210092,0.022335970370674946,0.03161435972831058,0.0364285954395808
2013-06-03,0.977,1.029,0.9442,6.1312,1.3098,1.5349,99.18,5.799,0.8099,6.5304,1.2501,0.00030004125343707777,0.0005000937578125697,0.0007998400426538933,0.0013997201446022394,0.0030006788149454385,0.0050074708139590755,0.010380894199745654,0.015563543265811082,0.022016551589623415,0.03128341233528482,0.03608351252553551
2013-06-04,0.964,1.0348,0.9485,6.1285,1.3075,1.5304,100.15,5.8123,0.7992,6.5691,1.2534,0.0005001145992498124,0.0004000600039999469,0.0007998400426538933,0.0013997201446022394,0.003200924928024766,0.004805761410331429,0.010586759110017649,0.01577151259898382,0.02211609750247378,0.03164986105059183,0.0364593474776833
2013-06-05,0.9533,1.0346,0.9422,6.1276,1.3088,1.5392,99.16,5.8081,0.7945,6.5957,1.2484,0.0004000733414819546,0.0005000937578125697,0.0007998400426538933,0.0013997201446022394,0.0030006788149454385,0.004806405069801186,0.010280749426805388,0.015462593661439086,0.021690782653734947,0.03107764646293737,0.03586641441219728
2013-06-06,0.9592,1.024,0.93,6.1359,1.3248,1.5601,97.76,5.7547,0.8012,6.5386,1.2454,0.0004000733414819546,0.0005000937578125697,0.0007998400426538933,0.0013997201446022394,0.0030006788149454385,0.004806405069801186,0.010178517047343672,0.015148413688378522,0.021483125064831844,0.030991336630021533,0.035603010703477045
2013-06-07,0.9494,1.0208,0.9342,6.1333,1.3242,1.5558,97.2,5.7649,0.7883,6.5607,1.2464,0.0004000733414819546,0.0004000600039999469,0.0006998775285760116,0.0013997551428565757,0.0032009650162905874,0.005207946725876307,0.011094284018415446,0.016177748224919842,0.022416767202207217,0.031966441053442755,0.03679211405879471
