Date,id_instr,value
2013-10-26,US3135G0PQ06,4375
2014-04-26,US3135G0PQ06,4375
2014-10-26,US3135G0PQ06,4375
2015-04-26,US3135G0PQ06,4375
2015-10-26,US3135G0PQ06,4375
2016-04-26,US3135G0PQ06,4375
2016-10-26,US3135G0PQ06,4375
2017-04-26,US3135G0PQ06,4375
2017-10-26,US3135G0PQ06,1004375
2012-12-20,US3135G0RT27,1215.278
2013-06-20,US3135G0RT27,4375
2013-12-20,US3135G0RT27,4375
2014-06-20,US3135G0RT27,4375
2014-12-20,US3135G0RT27,4375
2015-06-20,US3135G0RT27,4375
2015-12-20,US3135G0RT27,4375
2016-06-20,US3135G0RT27,4375
2016-12-20,US3135G0RT27,4375
2017-06-20,US3135G0RT27,4375
2017-12-20,US3135G0RT27,1004375
2010-09-23,US31398A2S08,1305.556
2011-03-23,US31398A2S08,5000
2011-09-23,US31398A2S08,5000
2012-03-23,US31398A2S08,5000
2012-09-23,US31398A2S08,5000
2013-03-23,US31398A2S08,5000
2013-09-23,US31398A2S08,1005000
2012-01-30,US3135G0GY31,729.167
2012-07-30,US3135G0GY31,6250
2013-01-30,US3135G0GY31,6250
2013-07-30,US3135G0GY31,6250
2014-01-30,US3135G0GY31,6250
2014-07-30,US3135G0GY31,6250
2015-01-30,US3135G0GY31,6250
2015-07-30,US3135G0GY31,6250
2016-01-30,US3135G0GY31,6250
2016-07-30,US3135G0GY31,6250
2017-01-30,US3135G0GY31,1006250
2011-02-27,US3135G0AP87,902.778
2011-08-27,US3135G0AP87,6250
2012-02-27,US3135G0AP87,6250
2012-08-27,US3135G0AP87,6250
2013-02-27,US3135G0AP87,6250
2013-08-27,US3135G0AP87,6250
2014-02-27,US3135G0AP87,1006250
2010-08-20,US31398AX318,1423.611
2011-02-20,US31398AX318,6250
2011-08-20,US31398AX318,6250
2012-02-20,US31398AX318,6250
2012-08-20,US31398AX318,6250
2013-02-20,US31398AX318,6250
2013-08-20,US31398AX318,1006250
2011-09-28,US3135G0CM39,1354.167
2012-03-28,US3135G0CM39,6250
2012-09-28,US3135G0CM39,6250
2013-03-28,US3135G0CM39,6250
2013-09-28,US3135G0CM39,6250
2014-03-28,US3135G0CM39,6250
2014-09-28,US3135G0CM39,6250
2015-03-28,US3135G0CM39,6250
2015-09-28,US3135G0CM39,6250
2016-03-28,US3135G0CM39,6250
2016-09-28,US3135G0CM39,1006250
2011-06-27,US3135G0BJ19,1281.25
2011-12-27,US3135G0BJ19,5625
2012-06-27,US3135G0BJ19,5625
2012-12-27,US3135G0BJ19,5625
2013-06-27,US3135G0BJ19,5625
2013-12-27,US3135G0BJ19,5625
2014-06-27,US3135G0BJ19,1005625
2010-10-26,US31398A4M10,1309.028
2011-04-26,US31398A4M10,8125
2011-10-26,US31398A4M10,8125
2012-04-26,US31398A4M10,8125
2012-10-26,US31398A4M10,8125
